,Price to nearest 200,Neighbourhood,Latitude,Longitude
18784,400.0,Amager Øst,55.647430191017826,12.617496589814873
18785,400.0,Amagerbro,55.66324996929362,12.609092117584915
18787,400.0,,55.66720446831046,12.599155676118489
18791,1000.0,Holmen,55.66633342660789,12.609323552650626
18793,600.0,,55.66453252756693,12.60520453177054
18794,800.0,,55.66653946478246,12.612200805654128
18797,600.0,,55.66262405973743,12.607789964140213
18798,200.0,,55.692108162863725,12.49976178327496
18799,1000.0,Amager Vest,55.658815045727366,12.60837953888334
18800,600.0,Amager Øst,55.66708296198061,12.60531860386829
18801,600.0,Amagerbro,55.66490362988617,12.610723409497266
18802,600.0,,55.66584507210823,12.611534391458886
18803,1000.0,Amagerbro,55.66385886737443,12.615424463542734
18804,600.0,Vanløse,55.68083534694253,12.490716851913593
18808,400.0,Valby,55.644028325799034,12.502754401518226
18810,200.0,Valby,55.652087010036105,12.522742433873479
18811,400.0,Valby,55.662831356160915,12.505889189974218
18812,1000.0,Valby,55.66706304558097,12.517191588225328
18814,600.0,Valby,55.662062901341784,12.511097473109245
18815,800.0,Valby,55.67275506063033,12.483570906210772
18820,200.0,Amager Vest,55.65826131474609,12.601722758835
18824,600.0,,55.66745519142064,12.577546071036146
18825,200.0,Amager Vest,55.65550892952936,12.604319200760765
18827,600.0,,55.638029201315135,12.592472446053893
18828,800.0,Amager Vest,55.658827445190546,12.598211286910846
18829,200.0,,55.63121883748706,12.585672011987176
18831,600.0,Islands Brygge,55.66663687476508,12.579734460187018
18833,400.0,Amager Vest,55.65286910276385,12.604217670509822
18834,400.0,Amager Vest,55.63171848310245,12.576554440513721
18835,400.0,Islands Brygge,55.664714836909425,12.57663151957614
18837,600.0,Amager Vest,55.63247200555687,12.571451967264919
18838,400.0,Amager Vest,55.63393513827373,12.581102283164633
18840,800.0,Islands Brygge,55.66534717371807,12.579976105236845
18841,400.0,Islands Brygge,55.667022043865785,12.57650746598991
18842,200.0,Amager Vest,55.65876329249611,12.602293651386885
18843,800.0,Amager Vest,55.66010005767276,12.586500587152731
18845,400.0,Frederiksberg,55.67408560945363,12.507213778262221
18846,400.0,Frederiksberg,55.67285994165043,12.545740881992991
18848,600.0,Frederiksberg,55.684151912282154,12.505715193069008
18849,800.0,Frederiksberg,55.68361659694578,12.500293398734007
18851,400.0,Frederiksberg,55.68713354403185,12.539898116416405
18852,800.0,Frederiksberg,55.6699838690518,12.535050632793052
18853,400.0,Frederiksberg,55.68365695626422,12.536844642473008
18856,1000.0,Frederiksberg,55.67227073136999,12.544509171824055
18858,400.0,Frederiksberg,55.67766267438712,12.503526730942804
18859,400.0,,55.67716099204035,12.516839615368994
18860,200.0,,55.67036723457552,12.5065354886956
18861,400.0,,55.68062840134803,12.53587578013727
